"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Whitefish","Erie",2019,71,523,1
"Whitefish","Huron",2019,70,517,9
"Northern Pike","Superior",2019,21.8,1023,3
"Northern Pike","Superior",2019,28.8,1454,5
"Lake Trout","Erie",2019,40.8,1018,6
"Whitefish","Ontario",2019,55.1,866,2
"Yellow Perch","Erie",2019,28.3,595,8
"Smallmouth Bass","Michigan",2019,84.6,559,7
"Yellow Perch","Michigan",2019,57.7,1279,5
"Northern Pike","Michigan",2019,52.2,883,8
"Yellow Perch","Ontario",2019,63.5,1863,2
"Northern Pike","Huron",2019,33.6,976,4
"Whitefish","Michigan",2019,47.1,828,7
"Smallmouth Bass","Michigan",2019,16.7,1471,5
"Walleye","Superior",2019,5,1430,3
"Walleye","Erie",2019,47.1,1251,9
"Lake Trout","Huron",2019,55.6,2258,2
"Lake Trout","Huron",2019,29.5,172,3
"Walleye","Huron",2019,26.4,791,7
"Walleye","Ontario",2019,17.7,50,3
"Walleye","Huron",2019,50.5,1637,8
"Lake Trout","Michigan",2019,81.9,1218,7
"Walleye","Erie",2019,63.9,1081,4
"Whitefish","Ontario",2019,65.7,832,2
"Yellow Perch","Ontario",2019,36.1,988,9
"Walleye","Ontario",2019,45,1325,7
"Lake Trout","Michigan",2019,74.2,832,6
"Northern Pike","Superior",2019,5,1176,2
"Smallmouth Bass","Erie",2019,19.6,1192,1
"Northern Pike","Superior",2019,67.8,1384,4
"Smallmouth Bass","Ontario",2019,38.1,1537,7
"Walleye","Erie",2019,40.2,1089,9
"Whitefish","Superior",2019,41.7,1022,5
"Whitefish","Huron",2019,29,1095,9
"Yellow Perch","Ontario",2019,27.7,559,4
"Walleye","Huron",2019,27.2,1300,2
"Lake Trout","Superior",2019,22.2,780,5
"Walleye","Erie",2019,51.8,1395,7
