"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Smallmouth Bass","Michigan",2015,31.3,1416,9
"Lake Trout","Superior",2015,24.6,670,1
"Northern Pike","Superior",2015,52.3,50,4
"Walleye","Ontario",2015,68.6,119,2
"Lake Trout","Erie",2015,50.6,1063,7
"Walleye","Erie",2015,39.5,1273,4
"Yellow Perch","Ontario",2015,52.4,867,2
"Whitefish","Superior",2015,38,835,7
"Whitefish","Michigan",2015,47.8,1554,6
"Whitefish","Erie",2015,30.6,775,4
"Northern Pike","Ontario",2015,35.1,716,9
"Walleye","Erie",2015,34,1339,3
"Yellow Perch","Michigan",2015,24.2,1417,2
"Smallmouth Bass","Michigan",2015,29.1,753,5
"Whitefish","Ontario",2015,49.9,1122,1
"Smallmouth Bass","Huron",2015,25.8,414,6
"Lake Trout","Huron",2015,41.2,1813,2
"Smallmouth Bass","Superior",2015,46.4,872,7
"Walleye","Michigan",2015,19.9,1183,7
"Whitefish","Huron",2015,42.2,210,8
"Lake Trout","Ontario",2015,34.1,964,3
"Smallmouth Bass","Erie",2015,67.3,1235,6
"Northern Pike","Ontario",2015,18.8,1692,7
"Smallmouth Bass","Huron",2015,42.6,1280,3
"Lake Trout","Michigan",2015,46.3,1988,8
"Northern Pike","Ontario",2015,35.9,1676,6
"Lake Trout","Superior",2015,25,1437,6
"Northern Pike","Superior",2015,41.8,2297,1
"Lake Trout","Ontario",2015,67.2,1300,2
"Walleye","Huron",2015,26.5,361,9
"Walleye","Ontario",2015,26.4,1623,3
"Lake Trout","Ontario",2015,43.5,1008,5
"Whitefish","Michigan",2015,21,617,3
"Northern Pike","Ontario",2015,52.1,182,4
"Lake Trout","Erie",2015,79.1,1315,4
"Whitefish","Ontario",2015,47.3,1254,3
"Whitefish","Huron",2015,30,837,7
"Walleye","Ontario",2015,42.5,1347,5
"Whitefish","Ontario",2015,39.9,944,4
"Whitefish","Michigan",2015,64.2,550,5
