"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Whitefish","Huron",2016,47.1,1089,5
"Lake Trout","Superior",2016,56.4,1866,3
"Whitefish","Michigan",2016,24.7,858,6
"Yellow Perch","Superior",2016,33.9,1245,8
"Yellow Perch","Superior",2016,36,707,1
"Whitefish","Erie",2016,49.7,1552,4
"Whitefish","Huron",2016,32.9,1366,2
"Yellow Perch","Superior",2016,16.2,638,1
"Whitefish","Superior",2016,23.2,768,4
"Northern Pike","Huron",2016,31.5,273,4
"Northern Pike","Michigan",2016,56.3,1164,4
"Smallmouth Bass","Michigan",2016,39.7,544,1
"Walleye","Erie",2016,37.2,427,8
"Yellow Perch","Ontario",2016,35.6,610,8
"Whitefish","Ontario",2016,61.2,764,2
"Smallmouth Bass","Superior",2016,41.9,1538,3
"Walleye","Michigan",2016,55.4,511,3
"Smallmouth Bass","Michigan",2016,60.4,889,7
"Smallmouth Bass","Huron",2016,53.1,1784,1
"Walleye","Superior",2016,40.6,763,5
"Walleye","Huron",2016,53,954,8
"Walleye","Huron",2016,57.3,1174,4
"Yellow Perch","Michigan",2016,32.6,1722,3
"Lake Trout","Huron",2016,38.1,576,6
"Walleye","Huron",2016,54.8,557,9
"Whitefish","Ontario",2016,69.2,370,4
"Northern Pike","Huron",2016,35.8,1087,5
"Lake Trout","Ontario",2016,8.8,949,3
"Whitefish","Superior",2016,23.6,1420,7
"Lake Trout","Ontario",2016,36.3,1582,5
