"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Lake Trout","Ontario",2021,59.3,762,3
"Whitefish","Huron",2021,45.3,1286,5
"Northern Pike","Erie",2021,50.4,1235,2
"Yellow Perch","Superior",2021,43.7,667,5
"Yellow Perch","Huron",2021,26.4,1297,7
"Yellow Perch","Huron",2021,58.1,685,8
"Smallmouth Bass","Michigan",2021,59.8,1775,5
"Whitefish","Ontario",2021,17.1,1860,9
"Walleye","Superior",2021,11.3,1577,7
"Northern Pike","Michigan",2021,17,690,9
"Northern Pike","Ontario",2021,29.3,808,5
"Smallmouth Bass","Ontario",2021,55.2,1431,6
"Whitefish","Michigan",2021,17.5,221,3
"Whitefish","Michigan",2021,57.1,1527,7
"Whitefish","Michigan",2021,43.9,230,7
"Smallmouth Bass","Michigan",2021,42.2,946,5
"Walleye","Erie",2021,52.4,900,1
"Northern Pike","Superior",2021,13.7,337,3
"Walleye","Huron",2021,21.5,1524,4
"Northern Pike","Ontario",2021,43.5,953,3
"Whitefish","Huron",2021,25.5,893,2
"Walleye","Huron",2021,39,1074,3
"Walleye","Michigan",2021,72.9,1214,3
