"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Smallmouth Bass","Ontario",2022,43.4,234,3
"Walleye","Superior",2022,29.8,2584,5
"Lake Trout","Huron",2022,44.4,906,7
"Walleye","Huron",2022,39.4,953,7
"Smallmouth Bass","Ontario",2022,25.8,924,1
"Whitefish","Superior",2022,7.1,1431,4
"Whitefish","Erie",2022,77.6,54,4
"Yellow Perch","Michigan",2022,33.4,1955,5
"Northern Pike","Michigan",2022,50.1,916,3
"Walleye","Michigan",2022,24.1,713,3
"Yellow Perch","Erie",2022,19.6,337,6
"Smallmouth Bass","Huron",2022,14.4,233,2
"Lake Trout","Michigan",2022,58.7,1326,4
"Yellow Perch","Erie",2022,30.9,710,5
"Whitefish","Michigan",2022,56.3,898,8
"Northern Pike","Ontario",2022,29.9,1521,5
"Yellow Perch","Huron",2022,34.6,50,8
"Whitefish","Huron",2022,29.8,1820,5
"Whitefish","Michigan",2022,26.4,226,1
"Yellow Perch","Superior",2022,74.5,641,4
"Northern Pike","Ontario",2022,61.1,307,6
"Lake Trout","Michigan",2022,12.2,50,6
"Yellow Perch","Huron",2022,50.4,352,1
"Northern Pike","Erie",2022,59.3,244,6
"Smallmouth Bass","Erie",2022,41.8,1545,2
"Walleye","Huron",2022,51.9,1200,3
"Walleye","Superior",2022,61.2,1253,2
"Northern Pike","Huron",2022,41.2,771,9
"Walleye","Michigan",2022,42.2,1099,7
"Smallmouth Bass","Ontario",2022,5,1908,8
