"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Lake Trout","Michigan",2018,38.9,925,1
"Whitefish","Huron",2018,31.6,936,3
"Lake Trout","Erie",2018,62.6,749,8
"Smallmouth Bass","Superior",2018,31.4,85,9
"Whitefish","Erie",2018,43.6,1933,3
"Lake Trout","Ontario",2018,28.5,1066,5
"Whitefish","Michigan",2018,40.8,1326,4
"Northern Pike","Michigan",2018,32.9,665,1
"Northern Pike","Erie",2018,45.4,648,6
"Yellow Perch","Ontario",2018,42.6,1751,1
"Whitefish","Superior",2018,15.7,1176,6
"Smallmouth Bass","Huron",2018,46.6,2207,7
"Whitefish","Huron",2018,24.1,1232,4
"Northern Pike","Erie",2018,57.8,907,6
"Lake Trout","Ontario",2018,54.2,1253,4
"Northern Pike","Ontario",2018,39.7,1567,9
"Walleye","Michigan",2018,38.5,1375,7
"Yellow Perch","Ontario",2018,20.1,620,2
"Whitefish","Superior",2018,29.4,1498,2
"Northern Pike","Michigan",2018,31.1,1212,6
"Lake Trout","Erie",2018,51,1896,9
"Whitefish","Erie",2018,49.9,1034,7
"Yellow Perch","Erie",2018,81.1,595,8
"Whitefish","Huron",2018,20.7,987,9
"Yellow Perch","Ontario",2018,60,1334,3
"Lake Trout","Erie",2018,29.8,833,4
"Lake Trout","Michigan",2018,36,698,6
"Northern Pike","Erie",2018,66.1,1612,2
"Whitefish","Michigan",2018,33.2,804,6
